Cry2Aa,No,,Diptera,Aedes aegypti,7159,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Aa,No,,Diptera,Anopheles gambiae,7165,Yes,110,ng/ml, ,0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Aa,No,,Diptera,Culex pipiens,7175,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,Paper not clear which Cry2Aa variant is used,Colin Berry
Cry2Ab2,No,,Diptera,Aedes aegypti,7159,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry2Ab2,No,,Diptera,Anopheles gambiae,7165,Yes,540,ng/ml, ,0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry2Ab2,No,,Diptera,Culex pipiens,7175,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",0.1111/j.1574-6968.2011.02403.x ,,Larvae,3rd Instar,Purified protein,Addition to water,,Colin Berry
Cry78Aa1,No,,Coleoptera,Colaphellus bowringi,561076,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Not specified,no significant mortality at 600 µg/mL,Ruchir and Suresh
Cry78Aa1,No,,Hemiptera,Laodelphax striatellus,195883,Yes,6.89,µg/mL, ,10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Membrane feeding,,Ruchir and Suresh
Cry78Aa1,No,,Hemiptera,Nilaparvata lugens,108931,Yes,15.78,µg/mL, ,10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Membrane feeding,,Ruchir and Suresh
Cry78Aa1,No,,Lepidoptera,Helicoverpa armigera,29058,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
Cry78Aa1,No,,Lepidoptera,Plutella xylostella,51655,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not specified,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
Cry78Aa1,No,,Neuroptera,Chrysoperla sinica,413239,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1016/j.jip.2018.07.007,,Adult,Not applicable,Purified protein,Diet incorporation,no significant mortality at 600 µg/g,Ruchir and Suresh
Cry78Ba1,No,,Coleoptera,Colaphellus bowringi,561076,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1021/acs.jafc.9b07429,,Larvae,1st Instar ,Purified protein,Surface contamination,,Colin Berry
Cry78Ba1,No,,Hemiptera,Bemisia tabaci,7038,No,"N/A, not toxic","N/A, not toxic","N/A, not toxic",10.1021/acs.jafc.9b07429,,Nymph,3rd Instar,Purified protein,Membrane feeding,,Colin Berry
Cry78Ba1,No,,Hemiptera,Laodelphax striatellus,195883,Yes,9.723,µg/ml, ,10.1021/acs.jafc.9b07429,,Nymph,3rd Instar,Purified protein,Membrane feeding,,Colin Berry
